rawData	tokens	sentiment	Category
BULLETIN: MOSCOW DECLARES IT WILL NOT ALLOW ITS CITIZENS IN DONBAS TO BE KILLED BY LETHAL WEAPONS GIVEN TO UKRAINE BY NATO https://t.co/aOxOPZRRvq  - Москва не позволит убивать своих граждан в Донбассе. Все меры международного права будут применены для защиты российских граждан	bulletin moscow declares allow citizen donbas killed lethal weapon given ukraine nato	-0.8429	Negative
"\"BUT DON'T HAVE AN END. I LIVE FOREVER FOR MY ESSENCE IS DIVINE\"\"\"	dont end live forever essence divine	0.7096	Positive"
"\"Baby.\"\"\"	baby	0.0	Neutral"
Back in 2014 the self-declared pro-Russian mayor of Sloviansk who held the OSCE mission hostage on Moscow’s orders was the owner of a soap factory	back selfdeclared prorussian mayor sloviansk held osce mission hostage moscow order owner soap factory	0.0	Neutral
Back in November 2021
Back to basics	back basic	0.0	Neutral
Bad Vlad and bad history. Ukraine War a 1980's KGB worldview broken by Berlin Wall Fall and Gorby coup fail. Russia in EU and NATO sooner now? China in Vladivostok again? Time4Change @TomTugendhat @timkaine @CWilson_FCDO @PRCAmbNepal @CarolineLucas @campbellclaret @NikkiHaley	bad vlad bad history ukraine war kgb worldview broken berlin wall fall gorby coup fail russia eu nato sooner china vladivostok timechange	-0.9552	Negative
Bader: Yet
Baker signs order instructing state agencies not to do business with Russia https://t.co/h4AnP41VvX via @BostonGlobe	baker sign order instructing state agency business russia via	0.0	Neutral
Bald hat der Ami das was er will. Uns das teuere Gas andrehen. Ukraine war nur Mittel zum Zweck. Russland liefert jetzt nach China
Baltic states worried about encirclement as Russia security threat rises - especially after large contingents of Russian troops were moved to Belarus https://t.co/3zBi3qMAmw	baltic state worried encirclement russia security threat rise especially large contingent troop moved belarus	-0.4939	Neutral
Bank of Russia Reassures on Debt After Putin Sanctions MoveThe central bank later issued a clarification
Banking	banking	0.0	Neutral
Banking	banking	0.0	Neutral
Banking	banking	0.0	Neutral
Banking	banking	0.0	Neutral
Banking	banking	0.0	Neutral
Banking sanctions on #Russia may be what #NATO &amp; the #EU are selecting as a mean to pressure #Moscow out of #Ukraine. It feels the most comfortable tool. But the West should take into consideration that if a banking war is triggered
Banter timeline outcome: Russia and the other NATO countries come to a negotiated solution and join forces to invade the UK and depose the Johnson regime	banter timeline outcome russia nato country come negotiated solution join force invade uk depose johnson regime	0.5423	Positive
Bardzo lubię Rosję i Rosjan.	bardzo lubi rosj rosjan	0.0	Neutral
Based on history of urban attacks none of what is happening in Ukraine makes any sense. There should be videos of urban fighting. I’ve seen none. No air attacks. No helicopters. If Kyiv is surrounded
Based on photos alone
Based on the last time Russian troops faced U.S. troops in open battle (Syria)
Basically what I get out of Russia/Ukraine conflict is USA are wanting to invade Russia and are using Ukraine to do it. USA are using the media to defame Russia. #Russia #VladimirPutin	basically get russiaukraine conflict usa wanting invade russia using ukraine usa using medium defame russia russia vladimirputin	-0.3182	Neutral
Battle for Kyiv underway as Russian troops seek to encircle Ukrainian capital https://t.co/ymLsTvIGi5	battle kyiv underway troop seek encircle ukrainian capital	-0.3818	Neutral
Başkent Üni. Türk Dili ve Edb. YL	bakent ni trk dili edb yl	0.0	Neutral
Be aware of the shit that is not being said enough about Russia and what they’re doing in Ukraine. Troops moved into Belarus
Be interesting the spin drippy truss puts on some Russian troops going back to their bases she will think she was at Agincourt	interesting spin drippy truss put troop going back base think agincourt	0.4019	Neutral
Be like @StephenKing 🔥#StandWithUkraine https://t.co/Tkayk0XoAF	like standwithukraine	0.3612	Neutral
Be watchful of where our #military might goes. Will Joe send abroad to defend foreign boarders and make our homeland vulnerable and susceptible to attack? We can see what he did with our wide open southern #Border	watchful military go joe send abroad defend foreign boarder make homeland vulnerable susceptible attack see wide open southern border	-0.6124	Negative
Be with us. See us. Listen to us.	u see u listen u	0.0	Neutral
Bears remain in control
Beautiful art done by Isobelle Ouzman @belleosi who is currently volunteering on the Slovak-Ukraine border. She'll be taking more book orders when she returns
Beautifully created photos of sunflowers have filled the windows of No.10 in support of #Ukraine.	beautifully created photo sunflower filled window support ukraine	0.7351	Positive
Because NATA is not able to protest Russian troops.Why U.S.and Britain are pumping fuel in the🔥? Russia will not invade and it cannot.But let the one civilization talk as Russia and Ukraine share one  mother's womb.Russia's simple demand is: not to make Ukraine a garrison hub .	nata able protest troopswhy usand britain pumping fuel russia invade cannotbut let one civilization talk russia ukraine share one mother wombrussias simple demand make ukraine garrison hub	0.3485	Neutral
Because President Zelenskyy is indifferent to the war in eastern Ukraine.  The main thing for him was the arrest of Poroshenko
Because Ukraine isn’t in NATO and we don’t owe them a damn thing https://t.co/2aOVb2Qu7D	ukraine isnt nato dont owe damn thing	0.3089	Neutral
Because all we have to do is trade a promise not to let #Ukraine in Nato for a promise not to invade and both Russia and Ukraine can't understand why that isn't forthcoming. https://t.co/VO8PlrkOEN	trade promise let ukraine nato promise invade russia ukraine cant understand isnt forthcoming	0.5574	Positive
Because it was a flashpoint. It was the rumblings that Ukraine may be admitted to NATO that started this. It was said that it wouldn't be expanded '1 inch to the East'. I'm thinking of ordinary Russians
Because listening to the Russian propagandist on LBC this morning it was blatantly apparent that the left in this country think exactly like the Russians do on this situation.	listening propagandist lbc morning blatantly apparent left country think exactly like russian situation	0.3612	Neutral
Because of the @mod_russia fostering the terrorist Burmese military
Because of the risk of escalation
Because you all have sat on the sidelines. Sat at the border and did nothing well the People of Ukraine are holding them off and giving time for the sanctions to do anything.	sat sideline sat border nothing well people ukraine holding giving time sanction anything	0.1496	Neutral
